datetime,low,high,open,close,volumefrom,volumeto
2017-01-17,0.00668,0.0071,0.0071,0.00683,4509598.64,30673.69
2017-01-18,0.00664,0.00719,0.00687,0.0068,5535202.45,38018.93
2017-01-19,0.0065,0.00688,0.00676,0.00684,2951225.69,19882.33
2017-01-20,0.0064,0.00685,0.00674,0.0066,1713629.92,11374.15
2017-01-21,0.00652,0.00684,0.0066,0.00684,2086817.3,13955.92
2017-01-22,0.00669,0.00683,0.00683,0.00678,573857.28,3878.76
2017-01-23,0.00659,0.00682,0.00674,0.00669,1808874.17,12113.86
2017-01-24,0.0065,0.00674,0.00664,0.0065,1209591.56,7950.86
2017-01-25,0.00643,0.0065,0.0065,0.00649,1373671.48,8907.59
2017-01-26,0.00616,0.00676,0.0065,0.0063,3768541.03,24232.92
2017-01-27,0.003,0.0065,0.00621,0.00636,1535240.88,9173.67
2017-01-28,0.0063,0.0064,0.00636,0.00639,454400.29,2892.62
2017-01-29,0.00631,0.00637,0.00637,0.00631,59977.51,380.92
2017-01-30,0.00635,0.0065,0.00637,0.00645,502195.87,3249.53
2017-01-31,0.00618,0.0065,0.00647,0.00641,2190641.88,13926.48
2017-02-01,0.00623,0.0066,0.0063,0.00649,2026119.08,13118.79
2017-02-02,0.0064,0.00661,0.00658,0.0064,2129322.31,13887.87
2017-02-03,0.00624,0.00649,0.00648,0.00638,1910554.32,12139.6
2017-02-04,0.00635,0.00647,0.00637,0.00644,308279.57,1976.38
2017-02-05,0.00628,0.00648,0.00645,0.00629,672251.29,4271.62
2017-02-06,0.00627,0.00644,0.00642,0.00638,423391.36,2697.23
2017-02-07,0.00626,0.00647,0.0064,0.00641,1890435.27,12089.99
2017-02-08,0.00608,0.00648,0.00635,0.00635,3180307.94,20361.19
2017-02-09,0.00609,0.00643,0.00643,0.00628,2649442.41,16433.17
2017-02-10,0.00595,0.00635,0.00626,0.00631,3304346.37,20534.94
2017-02-11,0.00627,0.0064,0.00631,0.00638,857148.47,5452.61
2017-02-12,0.00627,0.0064,0.00638,0.00627,225146.49,1434.86
2017-02-13,0.0062,0.00635,0.00635,0.00624,3963715.58,24658.45
2017-02-14,0.00621,0.00638,0.00637,0.00622,2724432.21,17037.93
2017-02-15,0.0058,0.00627,0.0062,0.0061,12413705.23,75374.04
