datetime,low,high,open,close,volumefrom,volumeto
2017-08-10,0.1815,0.187,0.187,0.1832,5057204.74,933115.13
2017-08-11,0.1761,0.188,0.1832,0.1792,7282490.44,1317286.84
2017-08-12,0.1715,0.1838,0.1792,0.172,8584514.2,1516486.73
2017-08-13,0.158,0.175,0.172,0.1665,10205615.71,1702067.5
2017-08-14,0.1651,0.1805,0.1665,0.1689,7283368.65,1248701.68
2017-08-15,0.1538,0.1694,0.1689,0.159,10089466.68,1624444.57
2017-08-16,0.15,0.1612,0.159,0.1605,10175291.84,1580752.24
2017-08-17,0.152,0.1625,0.1605,0.1582,5517889.4,875727.64
2017-08-18,0.15,0.1729,0.1582,0.1571,10179143.96,1622579.36
2017-08-19,0.1485,0.1625,0.1571,0.1563,6447708.36,998149.49
2017-08-20,0.1516,0.1625,0.1563,0.1594,4991797.28,782442.21
2017-08-21,0.1525,0.21,0.1594,0.1967,18507714.59,3280915.99
2017-08-22,0.175,0.2646,0.1967,0.2412,33838275.35,7343959.33
2017-08-23,0.221,0.299,0.2412,0.2466,45491284.95,12251375.91
2017-08-24,0.212,0.2894,0.2466,0.2185,37189662.75,9248108.0
2017-08-25,0.2038,0.235,0.2185,0.2182,17914140.47,3888305.12
2017-08-26,0.2066,0.2333,0.2182,0.2101,10551635.15,2301748.37
2017-08-27,0.193,0.212,0.2101,0.2018,11339222.54,2279927.95
2017-08-28,0.1932,0.24,0.2018,0.2249,28435501.71,6123157.7
2017-08-29,0.212,0.23,0.2249,0.2217,12394868.26,2734919.83
2017-08-30,0.22,0.2349,0.2217,0.2324,9676977.25,2196029.75
2017-08-31,0.228,0.267,0.2324,0.26,23041765.5,5658634.54
2017-09-01,0.2452,0.265,0.26,0.2538,19375296.58,4937449.06
2017-09-02,0.223,0.2545,0.2538,0.2282,19046325.83,4488688.44
2017-09-03,0.221,0.24,0.2282,0.2339,9714285.77,2241364.88
2017-09-04,0.197,0.234,0.2339,0.2114,15270879.65,3223590.67
2017-09-05,0.199,0.229,0.2114,0.2224,9330372.92,2006476.6
2017-09-06,0.222,0.24,0.2224,0.2343,10357593.31,2391627.53
2017-09-07,0.2203,0.235,0.2343,0.2298,8418606.87,1927825.45
