b'RT @MeFy_MeFy: Bitcoin (BTC) Worth Watch: Imminent Rising Wedge BreakoutBitcoin (BTC) Worth Watch: Imminent Rising Wedge Breakout \xe2\x8b\x86 Crypto\xe2\x80\xa6',2018-06-22 09:00:39,0,18,#litecoin
b'RT @Ananna16: #Discount | $10.99 Each | 15 hrs Left | 13 Best #CryptoCurrency #Investment Courses for #Business\n\nhttps://t.co/6ceyuHvixe\n\n#\xe2\x80\xa6',2018-06-22 09:00:35,0,10,#litecoin
b'People ask me why I invest in crypto???  #bitcoin #Ethereum #litecoin #bitcoincash  @Bitcoin @litecoin @SatoshiLite\xe2\x80\xa6 https://t.co/MEm1UnJIQq',2018-06-22 09:00:33,1,1,#litecoin
"b'Litecoin - LTC\nPrice: $90.48\nChange in 1h: -0.57%\nMarket cap: $5,165,202,380.00\nRanking: 6\n#Litecoin #LTC'",2018-06-22 09:00:27,0,1,#litecoin
b'LTC to GBP price \xc2\xa368.29 https://t.co/sdviVA9Swb #litecoin #ltc #cryptocurrency',2018-06-22 09:00:12,0,0,#litecoin
b'LTC to BTC price B0.014159 https://t.co/XRovJQzcQB #litecoin #ltc #cryptocurrency',2018-06-22 09:00:11,0,1,#litecoin
b'LTC to USD price $90.57 https://t.co/1sa6Vengqv #litecoin #ltc #cryptocurrency',2018-06-22 09:00:08,0,1,#litecoin
"b'Move your #bitcoin mining business from #China to #Canada https://t.co/PEIcarJOB0 #ethereum , #EthereumClassic,\xe2\x80\xa6 https://t.co/95FR7QpZQh'",2018-06-22 09:00:07,0,0,#litecoin
b'Litecoin: $90.05\n -7.62% (-$7.43)\nHigh: $97.80\nLow: $89.10\nVolume: 2950\n\n$LTC #LTC #litecoin',2018-06-22 09:00:05,0,0,#litecoin
b'RT @SalihSarikaya: What are the best #Cryptocurrency price prediction tools/websites/apps on the market?\n\n#Bitcoin #BTC #Ethereum #ETH #Lit\xe2\x80\xa6',2018-06-22 08:59:35,0,33,#litecoin
b'@BitcoinErrorLog @ftcfoundation @LTCFoundation We just started a few months ago and our contributions so far are mo\xe2\x80\xa6 https://t.co/fuzbWLMFLa',2018-06-22 08:59:32,1,0,#litecoin
b'RT @IGSquawk: Crypto update:\n#BITCOIN  6476.36  -3.58%\n#ETHER  497.92  -5.33%\n#BITCOINCASH  819.41  -5.87%\n#RIPPLE  0.514  -3.57%\n#LITECOIN\xe2\x80\xa6',2018-06-22 08:57:48,0,4,#litecoin
