datetime,low,high,open,close,volumefrom,volumeto
2013-12-24,642.0,683.74,659.5,659.79,11.21,7338.71
2013-12-25,642.0,684.51,659.79,684.51,10.87,7280.26
2013-12-26,676.0,771.0,684.51,759.86,68.93,49915.03
2013-12-27,714.15,769.01,759.86,731.86,33.31,24749.93
2013-12-28,715.53,745.2,731.86,737.39,7.56,5523.37
2013-12-29,715.0,744.32,737.39,738.18,6.2,4536.15
2013-12-30,731.86,751.0,738.18,749.0,8.9,6626.9
2013-12-31,730.0,750.0,749.0,739.73,8.37,6231.46
2014-01-01,737.15,759.11,739.73,753.99,10.13,7597.72
2014-01-02,750.0,817.56,753.99,799.04,18.64,14459.63
2014-01-03,771.18,819.9,799.04,808.52,76.87,61565.9
2014-01-04,783.02,840.0,808.52,827.65,33.23,26861.6
2014-01-05,827.41,980.0,827.65,913.93,54.92,49134.78
2014-01-06,886.44,1019.0,898.73,936.27,75.02,71761.38
2014-01-07,810.0,945.0,936.27,837.02,49.39,43584.38
2014-01-08,788.0,899.84,837.02,824.98,19.31,16200.85
2014-01-09,807.42,870.0,824.98,850.29,8.0,6648.98
2014-01-10,817.0,857.34,850.29,857.33,8.19,6915.5
2014-01-11,857.17,918.05,857.33,899.84,18.75,16698.57
2014-01-12,833.0,900.94,899.84,860.0,25.43,21880.88
2014-01-13,815.0,860.0,860.0,850.0,25.81,21478.79
2014-01-14,805.0,877.29,850.0,831.0,31.72,26807.33
2014-01-15,828.0,864.0,831.0,850.0,6.71,5698.14
2014-01-16,824.0,865.0,850.0,826.97,27.71,23480.8
2014-01-17,788.0,835.06,826.97,804.35,26.35,21241.54
2014-01-18,804.0,844.14,804.35,819.51,18.78,15496.38
2014-01-19,819.51,848.9,819.51,835.0,11.94,9816.16
2014-01-20,830.1,855.0,835.0,843.77,4.45,3747.01
2014-01-21,820.1,845.99,843.77,829.01,6.9,5771.28
2014-01-22,821.0,834.53,829.01,830.89,1.71,1421.64
2014-01-23,821.0,830.89,830.89,830.89,11.58,9553.06
2014-01-24,783.0,836.35,830.89,794.93,24.52,20070.65
2014-01-25,794.93,830.0,794.93,812.02,9.93,8122.8
2014-01-26,812.02,840.0,812.02,826.72,6.57,5460.47
2014-01-27,790.0,840.0,826.72,790.0,23.97,19466.78
2014-01-28,775.0,830.0,790.0,815.99,27.48,21864.09
2014-01-29,795.0,826.23,815.99,795.0,18.92,15228.79
2014-01-30,787.01,815.23,795.0,808.0,27.02,21676.98
2014-01-31,801.0,812.63,808.0,812.19,12.87,10378.74
2014-02-01,803.41,835.0,812.19,825.0,6.47,5349.33
2014-02-02,814.86,835.0,825.0,814.86,7.25,5997.5
2014-02-03,803.65,819.8,814.86,819.78,7.27,5897.35
2014-02-04,799.58,819.78,819.78,802.4,11.43,9222.59
2014-02-05,802.4,815.9,802.4,802.69,10.42,8384.29
2014-02-06,767.61,803.73,802.69,767.61,39.76,31077.67
2014-02-07,666.35,775.21,767.61,723.0,63.49,45445.55
2014-02-08,682.61,730.0,723.0,693.65,30.6,21667.17
2014-02-09,680.01,756.1,693.65,696.49,36.77,26525.54
2014-02-10,550.0,748.0,696.49,690.2,31.78,20936.01
2014-02-11,660.0,720.0,690.2,672.6,32.13,22247.63
2014-02-12,651.31,714.56,672.6,670.67,18.85,12800.85
2014-02-13,595.63,680.0,670.67,623.95,44.68,27921.71
2014-02-14,586.43,710.0,623.95,670.34,42.45,27538.09
2014-02-15,646.88,682.78,670.34,656.28,11.81,7829.95
2014-02-16,600.0,668.82,656.28,635.79,18.52,11671.17
2014-02-17,593.68,679.06,635.79,638.1,39.7,25015.04
2014-02-18,623.0,652.51,638.1,636.52,20.84,13283.29
2014-02-19,602.91,640.0,636.52,630.16,13.0,8156.37
2014-02-20,565.57,641.36,630.16,575.72,49.97,30211.95
2014-02-21,547.72,597.05,575.72,572.27,28.37,16163.7
2014-02-22,567.55,620.9,572.27,605.43,13.24,7922.42
2014-02-23,600.91,650.28,605.43,616.88,21.05,13076.23
2014-02-24,540.64,616.9,616.88,572.0,29.7,17337.61
2014-02-25,450.0,572.0,572.0,522.84,60.12,31027.58
2014-02-26,522.84,650.0,522.84,593.14,105.88,62637.97
2014-02-27,580.5,629.9,593.14,596.49,45.84,27167.62
2014-02-28,570.0,599.0,596.49,573.94,29.32,17063.7
2014-03-01,550.0,605.0,573.94,575.0,8.04,4619.86
2014-03-02,572.41,588.08,575.0,578.0,2.16,1257.55
2014-03-03,578.0,700.0,578.0,669.75,67.58,42500.17
2014-03-04,661.48,720.0,669.75,680.6,27.98,19231.45
2014-03-05,660.01,690.17,680.6,680.99,5.23,3521.91
2014-03-06,660.1,693.0,680.99,665.66,4.39,2958.34
2014-03-07,628.73,680.46,665.66,641.48,13.85,9104.56
2014-03-08,623.0,667.99,641.48,636.01,4.22,2725.58
2014-03-09,629.05,658.0,636.01,641.57,1.82,1174.15
2014-03-10,630.0,684.5,641.57,642.08,6.5,4224.11
2014-03-11,560.0,665.93,642.08,641.82,18.36,11258.87
2014-03-12,550.28,660.0,641.82,651.08,7.9,5048.57
2014-03-13,620.0,657.99,651.08,653.4,4.78,3084.76
2014-03-14,550.0,654.91,653.4,631.24,24.79,15786.73
2014-03-15,618.29,646.0,631.24,646.0,3.2,2040.57
2014-03-16,639.0,652.0,646.0,651.95,7.62,4898.74
2014-03-17,616.0,651.95,651.95,637.73,1.91,1196.44
2014-03-18,610.01,637.73,637.73,619.78,9.05,5585.02
2014-03-19,612.22,633.66,619.78,620.0,4.86,3013.79
2014-03-20,590.0,625.02,620.0,590.0,8.49,5127.29
2014-03-21,580.0,615.23,590.0,590.0,16.27,9667.69
2014-03-22,554.05,596.0,590.0,572.3,11.84,6716.21
2014-03-23,566.36,596.0,572.3,574.22,1.31,758.7
2014-03-24,554.5,592.54,574.22,585.4,5.69,3257.47
2014-03-25,579.0,591.15,585.4,579.02,5.73,3345.3
2014-03-26,579.0,641.14,579.02,585.09,13.33,7801.51
2014-03-27,502.78,599.27,585.09,502.78,34.78,19145.71
2014-03-28,500.0,553.0,502.78,516.48,44.09,22953.89
2014-03-29,505.0,518.0,516.48,514.99,6.11,3123.47
2014-03-30,436.07,514.99,514.99,467.1,33.23,15813.18
2014-03-31,443.35,530.0,467.1,462.39,17.6,8236.68
2014-04-01,462.39,503.23,462.39,490.73,17.55,8587.14
2014-04-02,443.63,497.15,490.73,443.63,15.11,7307.48
2014-04-03,426.45,463.7,443.63,458.6,15.54,6948.47
2014-04-04,440.0,550.0,458.6,458.84,21.14,9733.4
2014-04-05,447.57,467.85,458.84,467.85,0.9441,431.12
2014-04-06,450.0,469.44,467.85,461.82,5.12,2360.64
2014-04-07,450.0,475.32,461.82,462.08,7.09,3276.76
2014-04-08,454.38,465.82,462.08,454.39,3.32,1514.56
2014-04-09,450.0,462.09,454.39,461.09,1.27,577.49
2014-04-10,383.08,461.09,461.09,383.08,17.11,7148.34
2014-04-11,353.76,583.75,383.08,430.0,16.22,6617.7
2014-04-12,429.01,450.0,430.0,448.0,10.71,4757.18
2014-04-13,407.07,448.0,448.0,429.79,9.32,3950.49
2014-04-14,411.34,480.07,429.79,459.38,42.64,18937.44
2014-04-15,450.5,573.67,459.38,523.74,30.52,15259.53
2014-04-16,490.56,550.8,523.74,523.52,51.73,27085.47
2014-04-17,495.53,530.36,523.52,504.29,16.15,8302.41
2014-04-18,477.19,515.0,504.29,485.56,31.51,15658.79
2014-04-19,479.96,525.28,485.56,504.5,10.97,5515.26
2014-04-20,500.0,510.0,504.49,504.73,1.54,781.75
2014-04-21,485.0,517.31,504.73,496.42,17.33,8626.5
2014-04-22,484.62,510.49,496.42,489.72,7.49,3735.21
2014-04-23,489.0,504.5,489.72,495.62,7.02,3468.09
2014-04-24,490.0,501.95,495.62,501.95,3.58,1761.6
2014-04-25,449.0,503.48,501.95,471.02,27.38,12894.44
2014-04-26,456.75,476.18,471.02,463.7,3.39,1577.69
2014-04-27,438.72,463.7,463.7,438.72,2.91,1322.88
2014-04-28,429.09,455.09,438.72,446.18,6.12,2687.02
2014-04-29,435.65,454.62,446.18,445.68,7.31,3276.73
2014-04-30,441.23,452.82,445.68,448.34,9.06,4071.93
2014-05-01,448.0,464.42,448.34,459.32,14.51,6631.16
2014-05-02,446.49,459.32,459.32,455.16,7.08,3197.9
2014-05-03,432.43,455.16,455.16,441.04,8.5,3757.03
2014-05-04,431.17,445.4,441.04,442.0,1.77,771.45
2014-05-05,429.18,442.0,442.0,429.18,5.66,2449.0
2014-05-06,422.19,439.69,429.18,431.87,5.75,2476.72
2014-05-07,431.61,452.74,431.87,441.89,20.36,9150.11
